,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_epochs,param_lr_all,param_reg_all
"{'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.4}",0.36439475218837863,0.3608876012087851,0.3628495112629759,0.3627106215533799,0.0014351526659766235,6,0.15819189836753475,0.1576850520082953,0.1582310945366823,0.15803601497083744,0.00024868364874036533,4,29.471255938212078,0.056391624728142235,8.931718667348227,0.08976911620007336,"{'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.4}",5,0.002,0.4
"{'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.6}",0.36496834637250175,0.3614450675533245,0.3633750752673336,0.3632628297310532,0.0014405607021172671,8,0.15932139814100232,0.15882618118521927,0.15940276258621291,0.15918344730414483,0.00025479972924529105,7,28.823116381963093,0.15320088971487447,8.881255388259888,0.040195661033133795,"{'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.6}",5,0.002,0.6
"{'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.4}",0.3638066434728843,0.36026205945370565,0.36202347776838295,0.36203072689832433,0.0014470794448745827,2,0.15728065645696482,0.1568291723025128,0.15810612057378728,0.15740531644442166,0.0005287118347028422,1,29.304651419321697,0.7659473447301502,9.33644986152649,0.7014268109741135,"{'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.4}",5,0.005,0.4
"{'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.6}",0.36450348816094047,0.3608919940428462,0.36263927938201457,0.36267825386193375,0.0014746438437401462,5,0.1586827796504354,0.15821462363841324,0.1594905798604857,0.15879599438311146,0.0005270226130079191,6,29.81726845105489,0.9192650060016401,9.65700078010559,1.1730276374854431,"{'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.6}",5,0.005,0.6
"{'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.4}",0.36367159230015345,0.3601490176552006,0.36209468894773056,0.3619717663010282,0.0014407094352252166,1,0.15806693980961023,0.15753324115910372,0.15803331200179424,0.1578778309901694,0.00024404824812596755,3,56.72224791844686,0.05530239258727099,9.327876329421997,0.6558139221520202,"{'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.4}",10,0.002,0.4
"{'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.6}",0.36436093494844335,0.36081568483715964,0.3627572730133919,0.36264463093299826,0.001449532284703317,4,0.15936245216856545,0.1588398487015437,0.15939117492966468,0.1591978252665913,0.00025339911219752494,8,56.88883527119955,0.20266992424415456,8.914633830388388,0.0007852260634271217,"{'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.6}",10,0.002,0.6
"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.4}",0.3640734845633677,0.3604827955767754,0.3622733608453417,0.3622765469951616,0.0014658943716543257,3,0.15744788161155956,0.15699538553486883,0.1581837081557231,0.15754232510071717,0.0004897055865801347,2,56.797114531199135,0.13586176472616424,8.814585288365683,0.014249058066593098,"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.4}",10,0.005,0.4
"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.6}",0.36472349741028015,0.36109789842679946,0.3628645489624579,0.3628953149331792,0.0014803044520120122,7,0.1585078048179299,0.15805117088139006,0.15925075580957282,0.1586032438362976,0.0004943564534834149,5,56.83519570032755,0.17803920789226943,9.324763695398966,0.6602918585899368,"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.6}",10,0.005,0.6
